,commentBody
2146,"I agree that media literacy should be taught in school. Our generation has access to media, technology, the internet, and many others, which makes us easy targets for fake news. We need to learn over the long haul that we can't trust all that we see on the web. With the web, kids are significantly more defenseless to be affected by things they see because of the broad data introduced that may consistently not be valid. They are barraged and deceive with realities through instant messages, images, viral recordings, online media, computer games, promoting, and that's only the tip of the iceberg.
Additionally, they are influenced by not secure data; but rather likewise presented to different sorts of harassing that can be hurtful to their future. Media education is the capacity to recognize various kinds of media and comprehend the messages they're sending. These days, it's essential to show kids since early on media proficiency because most don't have the foggiest idea of perceiving the contrast between a precise new and phony one. It will make the perusers or watchers see the media unbiasedly, to discover or examine what is being introduced, not being impacted by assessments or untruths spread over the web."
2147,"social media is very dangerous in many ways, one of theme are the impacts that they have with all the people manipulating them, showing things that they don't need and make people want to have it. midia alsow shows you fake news and many people fall in it and she it to many people and it started spending lick a disie, but there are also many good things in it for example that people can learn more by researching in many different sites, people can express them selves, have a lot of fun by playing a lot of games online, meet new people I'm social midias, and they can even make a lot of people change their opinions"
2148,"Navigating the waters of various media sources has become quite challenging.  Without guidance, it can be very misleading. There have actually been quite a few times where I’ve innocently fallen for satirical or fake news.  I vividly remember that for quite some time, I actually believed the statements from a certain news article. Not being aware that it was satire news, I believed the statement that dogs lick our faces because they know we have bones in our bodies and they want to eat our bones. Luckily, this so-called-fact never went past my father and I. After sharing it with him one night, he encouraged me to check the site because he believed the story absurd. And, sure enough, it was satire. I felt so embarrassed! 

It is important to realize credible sources such as the New England Journal of Medicine and the New York Times compared to Wisconsin’s The Onion. A young lay person would not know which one is credible initially, but over time and with experience, this would become more apparent. Wouldn’t early education of such media sources be invaluable?

This one example sets the tone for why education about media sources would be very helpful in order to not fall prey for fake information which is playful, but also information which can be very prejudicial and harmful. While this example is harmless, statements about people and organizations can be misleading, hurtful and slanderous.  Disarming such information by promoting media literacy through education is the key."
2149,I believe they should teach this because my generation believes in everything they see on the media.
2150,"I believe that it should be taught in schools because, in my opinion, my generation believes too much in what they see online, and worse than that, they are spreading this information. The Internet is a powerful tool and something essential for our world today. People need to learn how to read something and not assume that it is true; they need to search for creditable and not biased fonts. It's always good to look for a second opinion. I think that this is so important for everyone's lives because, like other people, I already fell for clickbait videos on youtube, and classes like Media literacy can teach us how to avoid these type of situation"
2151,I think media literacy shouldn't be taught in class because not everyone needs it.
2152,"I have personally seen misinformation being spread around on social media multiple times. Usually the misinformation isn’t anything major but if it was, then the fact that that information is being spread could have consequences. Most of the fake news and whatnot I encounter is pretty easy to discern when it’s fake, but there are definitely things I’ve believed and encountered that I believed were true. The skill of media literacy is just becoming more essential each and every day as our society becomes more digital, and information becomes easier and faster to spread every day. The author talks about ways to incorporate it in school, “Even without legislation, teachers can incorporate media literacy concepts into existing classes or offer electives.” The idea of incorporating media literacy into lessons seems like a better idea to me because I don’t feel that media literacy would need an entire class to teach. I personally have had media literacy taught to me within lessons in school and they taught me the basics effectively. I think that as false information becomes more prevalent the only way to combat it is with knowing how to distinguish it as false. The best way to do that would be having media literacy taught to some extent in schools."
2153,"I don't usually get myself involved in media and news, but I think it's super important to learn what's going on in the world. Some of today's media outlets have been bent to conform to a specific dominant political ideology. Both ideologies have been manipulated in which they use fake news to destroy the conflicting ideology. With this said, I believe that Media Literacy should not be taught in school. I think it is important, but it should not be taught in school because it can force an idea on a child. When we enforce ideas on children it hinders their free thought and they aren't as open to new ideas. I either think parents should teach their children, or they should try and figure out what they believe on their own."
2154,"I do not believe that media literacy should be a required course in school because it doesn't seem to be something that it would take a full course to learn. While media literacy does seem to be an important skill to have we are already taught about source credibility in classes like english so we should be able to tell if the source is credible or not and even if we are unsure research can be done on the media in question to see if other credible sources have reported on it, and this skill can be applied to things like social media sources as well and unintentionally enhance a student media literacy. In the article it talks about how the kids at the school spread the misinformation about kim jong un rapidly without knowing it was not credible but I personally have never really seen such a large spread of misinformation as described within my school, aside from currently with the election where there doesn't seem to be much care for the credibility of information posted. Since we only really learn about source credibility when it comes to things like articles it could be a good idea to include a lesson on media literacy on social media platforms just to make sure that students fully understand, but not an entire course."
2155,"How subversive can language be.  In the 1980s - before the erasure of China’s Communist era honorifics from popular usage - the word ‘tongzhi’, commonly translated to English as comrade but having a more literal meaning suggesting a shared philosophical path, was the politically correct form of address. How clever it is that at some point along the way Gay people slyly coopted the levelling Communist Party terminology."
2156,Amazing article!
2157,"Reading stories like this makes me sad that humans have been around for over 100k years and >99.9% of that time was spent with extreme LGBTQ oppression.

Reminds me of Family Guy's Road to the Multiverse... imagine a universe where reality was not judged/oppressed."
2158,"This was really informative--I was surprised Chinese society/government was not more repressive. 

I do though wonder, along with others, where the lesbians are in China. Certainly not in this article."
2159,"Where are the lesbians?

Why are most of these articles regarding the L.G.B.T.Q. community always about gay men?  Lesbians face the same kind of scrutiny and discrimination that gay men face.

Never in my life, did I think I would still be fighting for the same things I was fighting for as a young lesbian.  While gay life in China is both modern in some ways and backwards in others, any gay person in America will recognize and appreciate their struggles.

It's more than 50 year since I fought for equal rights for lesbians and gay men.  It's 50 years since I attended and started some consciousness-raising groups.  And, it's 42 years since I helped organize a tribute to Harvey Milk in Los Angeles after his assassination.

We're still fighting for acceptance and equal rights.  We'll never stop.  To my fellow lesbians, make your voice heard and stand up for yourselves.  No one else is going to do it for you."
2160,"At last, a positive story to take my mind off all the awful men.

So far, so good for LGBT people in China.  I hope their success grows.  If the government would pay for surrogacy, they'd have a lot more wanted children."
2161,"Historical Chinese culture might not have condemned homosexuality, but gay men - especially the eldest son - were still expected to marry women so they'd produce (male) children to carry on the family name.  I'd guess it was similar to Greek (Roman?) culture."
2162,fang/shou (“opening up and tightening”). This explanation of the political status quo's relationship to the Queer community in China gave me a good chuckle for not very noble reasons.
2163,Can you please translate this to Chinese for some of my Chinese speaking friends?
2164,"I've been to China many times and have many friends there, and have traveled together with my husband too.  We've never felt the slightest bit awkward either among our friends or walking along the streets of various towns holding hands together.  The lack of a Judeo-Christian ethic is a blessing in disguise for Chinese gays.  True, the social stigma of having a family and children remain, but it's a societal issue that doesn't have anything to do with homosexuality, per se, but rather making an equal contribution to Chinese society as defined by basic family standards.  Having said this, the notion of family and children and so forth is also changing in China and it's only a matter of time before China joins Taiwan in legalizing same-sex marriages.  Cases have already made it to court and I believe they will be approved sooner rather than later."
2165,"I read the comments, and many have imprtant things to say.  But what is important here is that they can be said in the very first place in mainland China.  I understand the opinions of lesbians and transgendered people.  But this is a good safe quiet start.  After reading this one thing I thought about was all the very very brave gay chinese who are trying to make a better life for themselves, and others."
2166,"A fascinating article but, like many NYT articles about LGBTQ people, it is devoid of any discussion of the experiences of women and transgender people. How can an article about what is purportedly the biggest gay website in the world fail to quote or interview one Chinese woman or trans person about their coming out experiences with respect to Blued?"
2167,"Very interesting article, many older Chinese I know tend to deny the widespread existence of homosexuals in China and ascribe it to the shortcomings of Western morals. Yet another example of how remarkably conservative and backwards the Chinese Communist Party is with respect to anything having to do with sexuality. Not exactly revolutionary. 

By the way, ""tongzhi"" isn't ""the Chinese word for homosexual,"" that would be ""tongxinglian."" But as ""comrade"" fell out of favor over the past 30 years, the homosexual community adopted it as a euphemism for referring to their own. The use of ""tongxinglian"" would risk censorship, ""tongzhi"" of course would not."
2168,"Terrific article. I also think Liu's description of the tension b/t activism and change-by-the-rules is both real and not a real tension at all for a simple reason: There's no choice. This is reality. And change by the rules that allows for ever increasing growth, for the quiet growth of tens of millions of openly gay people and hundreds of millions of straight people who are friends with and family of openly gay people is, in any case, the only real thing that makes real change. All there is is just coming out. That's all there ever was or will be. Just coming out. On we go."
2169,"This “feature” appears to me – a Hong Kong gay man with a reasonable exposure to the general happenings in the mainland – to be a picture penned somewhat behind rosy glasses. To put things gently.
First thing first, calling Jin Xing “the nationally beloved talk-show host sometimes called China’s Oprah” is utterly ridiculous. The lady’d be the first one to agree. From what I know of her. She doesn’t even have her talk-show. Or any influence to talk about. At best, she is the guest of a reality-show.
Jin Xing became the TOLERATED token transgender woman in China before Xi’s reign. She was lucky. 
To say that “in contrast to other minority groups, the LGBTQ minority poses no explicit threat to party value and is low-priority to be on the government’s radar” is presuming the party values military threats above ideological threats. Which is not the case of the current regime. Xi, for the past few years, has been working hard on his legacy, tearing pages off Mao’s little red book, tidying up loose ends to secure that he’d not be another Gorbachev – the guy who lost the Communist Party to the people. It was not a military lost.
Of course, how people work and play is not necessarily in accordance with the party’s wish. 
When it comes to play, Travel Guides do tend to stay away from any LGBTQ outlets on their China pages. Because they want to stay on good pages with the regime. Or else…they are not welcome. Like NYT."
2170,"In China everything seems to move in lightning speed, but cultural inertia is hard to move.  The acceptance of gays & lesbians in USA took decades. Americans are very ""religious"", most people grow up brainwashed by traditional Sunday schools. Still, the move towards modernity and turning the back on medieval religious dogma worked. 

Chinese can learn a thing or two from Americans in this case. How did they managed to finally make same-sex marriage legal, TV shows about gay characters, and a gay mayor running for American President? 

A couple of things could work for gays & lesbians in China, just as they work in USA: money, fame & success is one. If one is as successful as Apple's CEO Tim Cook, all is forgiven. The other is pledge of patriotism. Pete Buttigieg won a badge of honor for being a veteran, which has considerable currency in America's military & macho-culture. The same could work in China. Being an ex-cop or ex-PLA, or better yet, a CCP party member, could help to turn cultural tides."
2171,"This article claims to be reporting on “gay” culture in China, yet there is not one lesbian female quoted or mentioned by name. And the one transgender female mentioned holds male supremacist views. No matter the demographic—gay, straight, white, black, rich, poor— there seems to be a troubling propensity to assume that the males of that demographic are the default and that it’s acceptable to ignore the voices and intersectional concerns of the women of that demographic—in this case, lesbians."
2172,Does the paper have a Chinese owner now? This is the second front page story about Chinese culture in the NYT today. Seems unnecessary given the primary and the virus.
2173,"Marxist and Marxist-capitalist countries like Russia and China normally ban homosexuality. (Marxist capitalism is a system combining thought control with love of money). China's one-child policy led to a great surplus of young men, since baby girls were given away for adoption or aborted so that the family could try again and perhaps have a son. Because of the surplus of young males, Chinese rulers grudgingly modified their position on homosexuality, since too many single men might have led to a more rebellious society. Allowing gay men to follow their instincts would lower the number of men who could not find mates.
Unfortunately, this could not help the situation of Chinese lesbians."
2174,"What an extraordinarily thorough and well-researched article.
As someone with a gay friend in Shanghai, this echoes the challenges of his day-to-day experience, especially as he continues to live with his family. I learned a lot, and articles like this are why I continue to subscribe to NYT."
2175,"This well-written article was a reminder of the enormous progress we've experienced in the US in my lifetime, and of how far we have to go worldwide to overcome archaic beliefs. I was heartened to read about Duan's progress, and hope that our brothers in China take heart. It gets slowly better."
2176,"I am both hopeful and reserved about this article. Hopeful because it is nuanced and in-depth enough to provide a more complicated view of LGBTQ in China. Reserved because underneath the surface it still employs the same over-universalized substructure of identity that has defined the movement in the west. I hope that readers will lean into the paradoxical aspects presented, not as problems to be resolved, but differences which are unique to each place - proliferation without activism, culture and economy, acceptance vs. publicity. 

These uncomfortable differences are surely felt by many Chinese as well, but it is also important to note that:

1) in the most fashionable and trendy public spaces in Shanghai you can openly walk out in drag 

2) American companies such as Burger King can openly target LGBTQ customers in their base in a way that they never could in the US 

3) The Chinese streaming platforms such as Bilibili or Tiktok have become increasingly ambiguious spaces in which themes (such as beauty and cosmetics) are utilized for expression of sexuality in the guise of tutorials (by gay men, for example). 

The catastrophic situation for LGBTQ in China is for the community to become yet another pawn in the ideological battle between China and 'the West.' In this regard I think the western free media holds a great responsibility."
2177,"It should also be mentioned that the CCP is firmly committed to raising the birth rate as China ages precipitously because of the decades of one-child policy.  Anything that impacts marriage and child-bearing is given close scrutiny; same sex relationships fall into that category in China.  
As an example, the common modern vasectomy procedure (NS non-scalpel) was pioneered in Sichuan two decades ago.  Upon arrival in Chengdu hospital two years ago to request the procedure, I was told it was no longer offered in public hospitals. The urologist gave me the party line: it is against nature."
2178,"Engaging article on a topic that should receive more attention. Regarding terminology, I find the blithe substitution of ""queer"" for ""LGBTQ"" problematic. I understand that for those under 35 (or so) who were educated in the Global North or for those who now reside there, ""queer"" might be an acceptable catchall, but it is to me and to many highly limited in its applicability (i.e. age-, site-, and culture-specific), unlikely to be of use in advancing or extending human rights globally, and loaded with pejorative overtones. Yes, the shifting alphabet soup is clumsy, as well, but perhaps we could find consensus around UN nomenclature: LGBTI."
2179,"In 1991 or 2, Jonathan Kozol came to Albuquerque to give a talk about his new book, Savage Inequalities. Many of us public school teachers attended that night. Kozol's words stayed with me, and I continue to share what he pointed out that night: his research showed that despite ""equal funding,"" public schools in more affluent areas always had way more resources than public schools in less affluent areas. Kozol also talked about how parents move out of poorer school districts, or enroll their kids in private schools. Charter schools were not common yet in the early 90s. But the ""flight"" from neighborhood schools sure was common. Since hearing Kozol and reading that book, I have always kept the perspective of how unequal our public schools are, and how affluent white families can take away a school's success by moving away or sending kids elsewhere. So many of my friends did just that when I became a parent in 1994. We did send our daughter to the local public schools through middle school. She chose charter high school."
2180,"This whole idea is disgraceful. ‘Nice white parents’, as if that’s something to be ashamed of.

Stop with the white bashing. We whites were born with the skin we were born with and do the best we can."
2181,"In the early 1990’s I chose to open enroll my son at the downtown elementary school in our city, which was integrated and had a reputation for being progressive, although we lived in a suburban school district that was highly rated academically.  I don’t regret it and I am happy with the more creative if less academically rigorous education he received. 

As a “nice white parent,” I was active in the PTA. and spearheaded efforts to start an after school enrichment program and to organize a year end class trip for graduating fifth graders which benefited the whole school regardless of ethnicity.  I worked alongside other parents, who were mainly affluent and white.  I do not recall any minority parents, either black or Asian being involved in PTA.  

I think the role of parent’s educational level and economic status and their involvement in their children’s education is critical in understanding school success and unfortunately the author seems to have blinders on to see any causes for an achievement gap other than white parents like me."
2182,"I recommend to anyone ""THE EDUCATION OF MINORITY CHILDREN"" by Thomas Sowell. The epistemic closure of the authors and producers of Nice White Parents is evident in the book list, and evident in that fact that so many working class and minority families in NYC are fleeing the educrats' public schools for charter and parochial that will provide the order and resources needed for their children to flourish."
2183,"I'm really struck by one line in the first episode. It was a throwaway line about the tours that were meant to ""lure white parents into segregated schools"". White children attend segregated schools also. That is how segregation works. This is no small point about white supremacy. The problem is always located in the bodies of people of color and, more often than not, black people. Racism is a problem for people of color--only they experience it. So black children attend segregated schools and white children just attend schools."
2184,Rob did nothing wrong. His efforts to raise funds and organize parents had no victims at all.
2185,"I've just started listening to your podcast and have enjoyed the first episode, however I have a couple of comments about its accuracy in relation to the PTA.

I have been a PTA leader in California public schools for the past 13 years and I want to clarify the core of who and what the PTA is about. Many people including the listeners and participants of your podcast refer to the PTA as a fundraising organisation. The PTA is not, and has never been a ""fundraising"" organisation. It is an advocacy organisation and its role and aim is to be an advocate at a national, state and local level, to build and increase family engagement in school communities, advocating for all children to receive a fair and equitable education. It lobbies elected officials and influences legislation at all levels.
All PTAs rely on donations in whatever form to pay for core programs to support literacy, advocacy and the arts and, essentially everything that happens in the classroom. 
All PTAs have to abide by PTA By-laws and are restricted in how they use their operating budget. They cannot, for example, pay for teachers or employ anyone to run their programs, and they are bound to ensure that every child has the opportunity to benefit from those programs - that's why volunteers have always been so crucial.

It's really, really, important that your listeners understand the vital and very important role of the PTA to advocate for all our children and their right to access a good education."
2186,"I was quite surprised when this podcast was announced because it covers the same territory as the podcast and grassroots movement called Integrated Schools.  Now that I've listened to the NY Times podcast, the overlap is clear.  Even on the reading list, there are some of the same authors and topics that were already covered quite well by Integrated Schools.  This is such an important topic with a dearth of dedicated resources, why would you create further divide in the already limited resources?  Part of this discussion is about listening to the voices of those who are already doing the work- why not first check with the grassroots organization that is already doing the work of highlighting these topics, in a podcast format, and also doing something about it?"
2187,"The reading list is very lop-sided. What I see is a list of books that simply bolsters the podcast's a priori conclusions. Where are the books that discuss other, hard-to-acknowledge points of view? 

I'm thinking of doing a podcast called ""Fire Bad."" My reading list comprises of 6 books about the Great Chicago Fire and a bunch of medical books on caring for burn trauma victims."
2188,"It seems strange to that what's missing from this reading list is any accounts of going to IS 293 in the 70s-80s. In Episode 3, the podcast presents this time as ""normal"", nothing going on. However, there is a remarkably detailed account of a white boy attending IS 293 in the 1970s in Jonathan Lethem's The Fortress of Solitude. This account is fictional but, based on interviews  I've read, pretty close to the author's experience. Lethem's account suggest it was really difficult for him and he was subject to low-grade racial violence his entire time as one of the only white kids in the school.

I think discussing the description of IS 293 in The Fortress of Solitude in the podcast would provide context to the white parents' demand for a ""Gifted and Talented"" program at MS 51 in Episode 3. I grew up in Brooklyn in the 70s and 80s and remember the pervasive racial fears that white parents had about sending their kids to public schools, because they feared violence and chaos. Was this racist and privileged? Absolutely, but omitting Lethem's book and description suggest that the podcasters want a neat and tide story, and don't want to examine the complexities of racial conflict in NY."
2189,"""Did you think of yourselves as integrators?"" I would have rephrased the question: ""Did you realize you were colonizers?"""
2190,"I’m astonished by the majority of these comments....completely tone deaf. 
Moving your white kids into a struggling black and brown school? Great! But how about acknowledging an extremely obvious method of creating a new community together, Spanish as a second language?? It is spoken everywhere in the U.S, but very few white people even make the attempt to learn the language. Also a Romance language quite beautiful and extremely useful.
START THERE....then build on that."
2191,"There are differences.  Maybe you speak faster, not certain what you said? Can someone clear that up!  (is that confusion, misunderstanding, a complaint, and the person he is just trying to understand, what is said)
Very difficult for students to understand.  Let’s see if we can learn and write together.  We have copies of the New York Times. I have folded this paper to this article.  With your pencil l want you to trace Each letter. When all is finished.  All of us will read it at once!  When we finally some words may be misunderstood, i will attempt to pronounce them.  

That’s the first lesson. Later why we capitalize the first word,  then we make it into like a paragraph is.  We can continue ... but more than this I want to hear from you. Perhaps you can locate the words in the article similar to your word.  Maybe not accurate but then you are learning to practice or copying writing...  you bet...and learning today and with continued lessons tomorrow we will practice and learn..right here ..."
2192,Links in the article would be really helpful...
2193,"When a parent or anyone else can create a separate fund raising program for a school or direct what happens with the money, the district has a choice about whether to accept the money or not. School district leadership seems to be the ""culprit"" in the story here, not parents who are involved. How does the author propose incentivizing more parents to become involved in schools?

Anyone who has ever been involved in PTAs knows how clicky they sometimes are and how there can be infighting among school parents. There is also much to be gained from parents coming together. I would be wary of giving a PTA too much power. It's school leadership who should be running schools and who should be accountable.

The podcast authors put together an opinion piece and are entitled to their opinion.  They are right about Chicago closing schools that are low resourced. It's wrong."
2194,A group of 35 white parents collectively applied to a half empty school that was mostly black and brown.  Now the parents bring their skills and their money and try to fund the type of enrichment programs that bring more parents like them into the schools.  Next comes advanced classes for algebra and biology. Those classes may or may not ever be integrated - depends on each child’s ability.  You can have a school that is 50/50 but the actual classes won’t be mixed if the students abilities aren’t similar.  I don’t know how to fix that if the PTA can’t even work together on fundraising goals.
2195,"I recently finished reading Rachel Devlin's ""A Girl Stands at the Door."" It is an absorbing account of how young black women and girls as a group played a significant role in the desegregation of American schools during the mid 20th century. I think it would make a worthy addition to this list as the ""relationship between white parents and the public school down the block"" is at the heart of what those brave young women and girls fought against."
2196,"I listened to the first episode of this series. It is  excellent.
Every child deserves a community  and resources.
The parents raising money for the French immersion program were doing it for themselves, not the community. They say they want diversity but just in the right amount.
The book of statuses showed what the white kids were overhearing at home."
2197,"Life will always be comprised of competition between people for resources. The question becomes what kind of competition is fair and moral. In reality though, competition will never be completely fair. Those who have available resources have an advantage. Those who have knowledge have an advantage. Those who live in a good school district have an advantage. Those whose kids end up in the right teacher’s class have an advantage. Life is full of hundreds of advantages and impairments, of which race represents a small percentage. Understand that white parents are competing with other white parents as well. Doing our best to make sure all schools have the resources needed should certainly be a top priority, however this will not completely level the playing field."
2198,I think we should start this discussion after reading Jonathan Kozol's Savage Inequalities.  It was published almost thirty years ago and the truths it lays bare are still a major part of this country's reality.  The intentions of parents and educators are like a superstructure built on a very flawed foundation.  Kozol made it clear this was not an accident.
2199,"In the sixties my children attended integrated schools reflecting our community.  They had several Black friends.  When Black is beautiful became the slogan, the Black children became uncomfortable having white friends and stopped hanging out together.  Tables in the cafeteria at lunchtime were no longer mixed races as the Black children self segregated.  My children were confused and hurt by this.  That was in elementary school and it continued throughout high school.  Black children were discouraged by their peers from having anything to do with white classmates.  What began as racial pride, something positive, turned into something negative."
2200,"When white parents move into predominantly minority neighborhoods and schools, the times says that they should adapt to the local culture. But when minorities move into white areas, the times says that those areas should accommodate the newcomers. You can't have it both ways. If minorities have the right to maintain their cultures and practices when moving into white areas, then white people have the right to bring their culture with them into minority areas."
2201,"The core problem is that nothing we have done in the past half century has brought the average Black child’s academic performance close to that of the average white child.  That includes affluent suburbs such as Shaker Heights, where all students come from educated, middle+ class families.  In an effort to avoid the “same building, different rooms” situation, tracking has been reduced or eliminated.  All that really does is force high-functioning students to have their education slowed down to accommodate below grade level “peers”.  The “nice white parents” quite reasonably react by moving their kids to a school with fewer low performers dragging down classroom learning.  Statistically, that means finding a white/Asian majority school, but the core problem is academic competence and behavior, not race."
2202,"This article does a grave disservice by describing blushing as being entirely psychological and suggesting that it's the blusher's fault and within their entire control. I'm shocked that there is absolutely no mention of rosacea, nor of the genetic propensity for blushing/flushing that plagues, for example, those of us of Celtic descent. (Can I hear an ""Amen"" from my fellow Irish-Americans?) 

Traveling to countries like Ireland where this genetic propensity is widespread makes you realize how strong the genetic component is and how impossible it can be to avoid all facial blushing/flushing, even if you steer clear of triggers like alcohol. 

Trust me, not everyone whose face is flushed is embarrassed, drunk or menopausal -- although some of us may be all three at once!"
2203,"All the comments are helpful and the article unsusal.  I’d been an easy blusher all my life but developed rosacea after using a OTC hair loss medication that had niacin in it (Viviscal).  Avoiding alcohol, spicy food and hot drinks is key but if I feel an outbreak coming I immediately guzzle a LOT of water...like 2-3 glasses.  Sometimes, not always, that will completely diffuse a reaction.  Mirvaso as a topical is great but my condition really improved after a series of IPL (light) treatments.  When I see fellow blushers or rosacea sufferers I just want to hug them....we are turtles without a shell...and harder on ourselves than anyone else could ever be."
2204,I am a physician assistant who treats patients who blush every week. Most of those individuals have a skin condition called rosacea. Flushing and blushing from emotion or sometimes alcohol or spicy foods are the most common precipitants of this common aesthetic skin disorder. My point here is that many people who flush have this disorder of their skin and it is not a psychiatric disorder.
2205,"I read an article once about tightening your ab muscles in those  instances when you stand up too fast and start to feel faint.  Now when I feel like I'm starting to blush, I try the ab muscle tightening technique and it seems to help."
2206,"Hot flashes are the bane of my existence. I’m fair skinned and have red hair. When I get a a really hot flash for some reason, each cheek turns into a burning scarlet patch that stays on my face for the rest of the day as if permanent. The flip side to someone blushing is being able to tell if they’re angry or ashamed, depending on the circumstances. Large electric fans and the frozen food shelves at supermarkets are my friends. I’ve had hot flashes for so long I don’t remember when they started. I agree with the reader who said in reference to the hormonal hellfire, “oy!"
2207,"This article does a great disservice to severe blushers by focusing on psychological issues when medical issues are often the cause.    

For some people, excessive blushing isn't a psychological issue, it's the skin's overreaction to normal levels of anxiety, excitement, stress, heat, exertion, etc. 

A variety of medical issues can cause excessive blushing.  One of the most common: rosacea.  Experts estimate 16 million Americans live with rosacea, but only a small fraction get treatment.  

I developed rosacea in my 30s, starting with excessive blushing, which was totally out of proportion to the very minor stress, anxiety or excitement that I was feeling, and got so bad I literally blushed purple. 

Luckily, I was properly diagnosed.  I currently use 4 topical medications: Soolantra, a compounded Niacinamide cream, Noritate,  and a sulfur cream.  I'm very happy with how these medications have controlled my rosacea.  

I wish everyone struggling with rosacea could get the diagnosis they need.  A dermatologist visit is necessary for this problem, and patients may need to see more than 1 dermatologist to get a diagnosis.  For me: 1st doc said I didn't have rosacea; 2nd doc said I did have rosacea, but didn't help me get it under control; 3rd dermatologist got it right and no more blushing purple!

Please do a follow-up article on rosacea to provide more useful information to severe blushers.  See rosacea.org."
2208,"Starting around age 12 I started blushing very brightly, especially if embarrassed in the classroom. My charming, nasty classmates dubbed me, ""Beamer Boy"". Throughout the next few years my classmates would taunt/bully me relentlessly in the hopes of making me blush so that they could torment me even more with the Beamer Boy epithet. One day, I snapped and punched one of my tormentors in the face when he called me that name. And that was the end of Beamer Boy....."
2209,Sweet ending.
2210,"After reading all of these comments, and sharing so many of these issues that go along with blushing, I’m curious how many “blushers” also experience migraines. 

Thanks for this article."
2211,"Brace yourself for hot flashes, all you young blushers. Oy."
2212,I've been a blusher for years - it's horrible to suddenly turn red for no apparent reason when you're leading a meeting or in a random conversation. It's especially frustrating because I'm otherwise very comfortable in social situations and public speaking. I've noticed it's gotten worse since my diagnosis of young onset Parkinson's five years ago. Wonder if this condition may be another one of those noxious Parkinson's symptoms?
2213,"Thank you for writing this article!  I have never met anyone outside my family who had problems with uncontrollable blushing.  It is comforting to know I am not alone.  I am 56 and have been dealing with this my whole life. When I was younger, I would purposely get sunburned so I hide the fact that I didn't know why I would get so abnormally red.  When I would start to blush, someone would inevitably say ""why are you so red!"" or ""are you OK, you don't look good"" and then I would blush more.  It became a game to some people to see how red they could make my face get.  I never wore makeup because I couldn't figure out how to hide the redness without feeling like a clown.  Over the years, I have become more accepting of this problem which has helped in controlling some of the blushing. I started taking Lexapro in my early 40s, which seemed to make help in the severity of the blushing.  Maturity and overall acceptance for my flaws has helped, but I wish I would have been more comfortable in my own skin when I was younger.  One positive that has come out of this is that I do have a strong sense of empathy for other people struggling with social awkwardness.  When I see someone struggling, I try to do what I can to make them as comfortable as possible because I know how being called out about something you can't control is a terrible feeling."
2214,"As a chronic blusher and sufferer of rosacea, I was hoping you'd address any connections...."
2215,"I was plagued by blushing as a teenager and as a young adult.  I never received professional help.  Instead I would get sunburns so that I could deny blushing. 
Because of the sunburns, I have been plagued by skin cancers. I have had a number of skin grafts and radiation on my face.  My dermatologist downplayed the experience of blushing, saying that blushing wasn’t so bad.  I responded with - it would be just like wetting your pants in front of people.  It was torturous for me.  I had fellow students comment when I had to speak in front of a class.  It affected my social life as well as my early work life.  I recall reading an article about a young man who committed suicide.  His mother believed it was due to his social anxiety and blushing."
2216,I have always been a “strong” blusher and now have very “strong” menopausal hot flashes- is there a correlation? I bet yes.
2217,"As a pre-teen, I was a ""social"" blusher. I was teased in junior high school because even my arms blushed. But in high school, for a variety of reasons, my self-confidence grew and I somehow trained myself not to be surprised or bothered by crude jokes or distasteful subjects. I cannot explain exactly how I figured this out, but it was instinctive and it works. I don't remember being teased in high school or college. 

However, I am also allergic to some wines, and definitely beer, both which usually make my face bright red and hot. So I drink wine from Europe because it tends to have less sulfites and less alcohol. I seldom drink beer. These strategies usually work.

Recently I was diagnosed with rosacea, which this article did not explore. Not all blushers have rosacea, and I am not sure all those with rosacea blush. Medically speaking, it seems that doctors do not know biologically what causes rosacea, only what triggers it (wine, coffee, heat, bad air, etc.) and what drugs minimize symptoms. I may have had it all along, but very bad air from the California fires in October 2018 and 2019 triggered a burning rash and peeling on the checks of my face unlike anything I had experienced. I was amazed by the discomfort and frustrated by how it looked. A cream plus an antibiotic - both expensive even with Medicare - helped temper, not stop, outbreaks. 

Thanks for a great piece on the topic! We blushers appreciate it."
2218,"Paradoxical intention can work really well. When the blushing starts, intentionally try to make it continue. That reduces the anxiety and embarrassment, because once the blushing is  welcomed it's no longer a threat."
2219,Use finacea (brand name) or azelaic acid gel (generic) twice a day  on your cheeks and that will take care of it. The gel is expensive but it works.
2220,"This is the exact same reaction I have whenever I see a doctor for any reason. Known as ""white coat syndrome"", it causes my blood pressure to go up as high as 200/180, which, of course, causes them to want to send me to the ER in an ambulance. This has happened so many times in my 75 years that I'm surprised I haven't had a stroke during a routine physical exam. That, however, is my greatest fear.
 
I was an RN for 45 years and never had a problem with elevated blood pressures or blushing in my entire career. Now, that I need to see doctors more often, I have this problem every time. I am on meds for blood pressure, but I take my readings every other day and they are always normal at home. I am also allergic to beta blockers, having had an anaphylactic reaction to them. 

Frankly, I'm at the end of the proverbial rope. I avoid doctor visits as much as possible(fortunately I'm very healthy), however I do have the usual wellness checks now required for seniors, ie.,colonoscopies, mammograms, etc., ad nauseum. I can feel my pressure rise even when I'm being weighed by a medical assistant. All of this is after I've taken a xanax prior to the appointment. I hate sounding so negative but I honestly don't know what to do."
